url,price,address,beds,dens,baths,sqft,mls_id,property_type,street,neighbourhood,city,date_scraped
https://torontocondoteam.ca/238-willow-ave-e7007792,1649000,238 Willow Ave,3,1,2,not_provided,E7007792,condo_apartment,Willow Ave,The Beaches,Toronto,2024-02-05
https://torontocondoteam.ca/2b-lippincott-st-e-w6807850,849000,2B Lippincott St E,3,1,3,1500-2000,W6807850,condo_apartment,B Lippincott St E,Weston,Toronto,2024-02-05
https://torontocondoteam.ca/100-50-scarborough-golf-clu-rd-e7028532,499990,100 - 50 Scarborough Golf Clu Rd,3,0,2,1400-1599,E7028532,condo_apartment,Scarborough Golf Clu Rd,Scarborough Village,Toronto,2024-02-05
https://torontocondoteam.ca/23-humbervale-blvd-w7028296,1868000,23 Humbervale Blvd,3,0,2,not_provided,W7028296,condo_apartment,Humbervale Blvd,Stonegate-Queensway,Toronto,2024-02-05
https://torontocondoteam.ca/38-citation-dr-c7316394,2888000,38 Citation Dr,3,1,3,1500-2000,C7316394,condo_apartment,Citation Dr,Bayview Village,Toronto,2024-02-05
https://torontocondoteam.ca/48-mammoth-hall-tr-e7022534,989999,48 Mammoth Hall Tr,3,1,3,not_provided,E7022534,condo_apartment,Mammoth Hall Tr,Malvern,Toronto,2024-02-05
https://torontocondoteam.ca/18-terryellen-cres-w6782962,2189000,18 Terryellen Cres,4,1,3,1500-2000,W6782962,condo_apartment,Terryellen Cres,Markland Wood,Toronto,2024-02-05
https://torontocondoteam.ca/1b-marowyne-dr-c7023476,3899000,1B Marowyne Dr,4,1,5,3500-5000,C7023476,condo_apartment,B Marowyne Dr,Don Valley Village,Toronto,2024-02-05
https://torontocondoteam.ca/7-28-widmer-st-c7320460,1007000,7 - 28 Widmer St,2,0,2,600-699,C7320460,condo_apartment,Widmer St,Waterfront Communities C1,Toronto,2024-02-05
https://torontocondoteam.ca/41-kingdom-st-w7364570,4775000,41 Kingdom St,0,0,0,5000+,W7364570,condo_apartment,Kingdom St,Humber Heights,Toronto,2024-02-05
https://torontocondoteam.ca/178-blythwood-rd-c7297756,2999999,178 Blythwood Rd,4,0,2,not_provided,C7297756,condo_apartment,Blythwood Rd,Lawrence Park South,Toronto,2024-02-05
https://torontocondoteam.ca/408-660-eglinton-ave-c6774296,399000,408 - 660 Eglinton Ave,1,0,1,700-799,C6774296,condo_apartment,Eglinton Ave,Forest Hill North,Toronto,2024-02-05
https://torontocondoteam.ca/134-helendale-ave-c6807382,1788000,134 Helendale Ave,3,0,3,1500-2000,C6807382,condo_apartment,Helendale Ave,Yonge-Eglinton,Toronto,2024-02-05
https://torontocondoteam.ca/70-dunraven-dr-w7374388,699000,70 Dunraven Dr,0,0,0,not_provided,W7374388,condo_apartment,Dunraven Dr,Keelesdale-Eglinton West,Toronto,2024-02-05
https://torontocondoteam.ca/14-mccowan-rd-e7004782,1130000,14 Mccowan Rd,3,2,2,700-1100,E7004782,condo_apartment,Mccowan Rd,Cliffcrest,Toronto,2024-02-05
https://torontocondoteam.ca/233-carmichael-ave-e-c7002096,4389000,233 Carmichael Ave E,5,0,5,3000-3500,C7002096,condo_apartment,Carmichael Ave E,Bedford Park-Nortown,Toronto,2024-02-05
https://torontocondoteam.ca/135-admiral-rd-c7357476,4999000,135 Admiral Rd,4,1,4,not_provided,C7357476,condo_apartment,Admiral Rd,Annex,Toronto,2024-02-05
https://torontocondoteam.ca/68-fairside-ave-e7030646,1599999,68 Fairside Ave,3,1,4,2000-2500,E7030646,condo_apartment,Fairside Ave,Danforth Village-East York,Toronto,2024-02-05
https://torontocondoteam.ca/8-fred-young-dr-w7301434,1329000,8 Fred Young Dr,4,1,4,2000-2500,W7301434,condo_apartment,Fred Young Dr,Downsview-Roding-CFB,Toronto,2024-02-05
https://torontocondoteam.ca/5-arkley-cres-w7277674,1997511,5 Arkley Cres,3,3,5,1500-2000,W7277674,condo_apartment,Arkley Cres,Willowridge-Martingrove-Richview,Toronto,2024-02-05
