url,address,price,baths,beds,dens,street,neighbourhood,mls_id,city,property_type,date_scraped
https://toronto.listing.ca/185-legion-rd-414.W8028158.htm#42-33,185 Legion Rd 414,799900,2,2,0,Legion Rd,Mimico,W8028158,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1275-markham-rd-901.E8028912.htm#42-34,1275 Markham Rd 901,599000,2,3,0,Markham Rd,Woburn,E8028912,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1950-kennedy-rd-410.E8028598.htm#42-35,1950 Kennedy Rd 410,549000,1,2,0,Kennedy Rd,Kennedy Park,E8028598,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/225-village-green-sq-1703.E8028462.htm#42-36,225 Village Green Sq 1703,739999,2,2,0,Village Green Sq,Agincourt South-Malvern West,E8028462,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1-reidmount-ave-1202.E8028368.htm#42-37,1 Reidmount Ave 1202,778800,2,3,1,Reidmount Ave,Agincourt South-Malvern West,E8028368,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1-falaise-rd-rd-408.E8028288.htm#42-38,1 Falaise Rd Rd 408,599900,2,2,1,Falaise Rd Rd,West Hill,E8028288,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/20-guildwood-pkwy-1104.E8028262.htm#42-39,20 Guildwood Pkwy 1104,915000,2,2,1,Guildwood Pkwy,Guildwood,E8028262,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/15-holmes-ave-2610.C8029120.htm#42-3a,15 Holmes Ave 2610,599900,1,1,0,Holmes Ave,Willowdale East,C8029120,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/33-frederick-todd-way-1603.C8029118.htm#42-3b,33 Frederick Todd Way 1603,1849900,3,2,0,Frederick Todd Way,Leaside,C8029118,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/15-ellerslie-ave-908.C8029062.htm#42-3c,15 Ellerslie Ave 908,850000,2,2,1,Ellerslie Ave,Willowdale West,C8029062,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/33-helendale-ave-908.C8029058.htm#42-3d,33 Helendale Ave 908,729900,2,2,1,Helendale Ave,Yonge-Eglinton,C8029058,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/5-defries-st-923.C8029036.htm#42-3e,5 Defries St 923,898000,2,2,0,Defries St,Regent Park,C8029036,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/10-york-st-3510.C8029026.htm#42-3f,10 York St 3510,1788888,3,3,0,York St,Waterfront Communities C1,C8029026,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/20-edward-st-2101.C8028980.htm#42-3g,20 Edward St 2101,619995,1,1,0,Edward St,Bay Street Corridor,C8028980,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/40-homewood-ave-1811.C8028942.htm#42-3h,40 Homewood Ave 1811,319000,1,0,0,Homewood Ave,Cabbagetown-South St. James Town,C8028942,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/840-st-clair-ave-519.C8028906.htm#42-3i,840 St Clair Ave 519,750000,2,2,0,St Clair Ave,Oakwood Village,C8028906,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/181-wynford-dr-711.C8028886.htm#42-3j,181 Wynford Dr 711,749000,2,2,0,Wynford Dr,Banbury-Don Mills,C8028886,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/88-sheppard-ave-2604.C8028868.htm#42-3k,88 Sheppard Ave 2604,998800,2,2,1,Sheppard Ave,Willowdale East,C8028868,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/55-avenue-rd-406.C8028854.htm#42-3l,55 Avenue Rd 406,1975000,3,2,0,Avenue Rd,Annex,C8028854,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/403-church-st-2812.C8028834.htm#42-3m,403 Church St 2812,1149000,2,3,0,Church St,Church-Yonge Corridor,C8028834,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1-yorkville-ave-4909.C8028828.htm#42-3n,1 Yorkville Ave 4909,1999900,2,2,1,Yorkville Ave,Annex,C8028828,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/5785-yonge-st-505.C8028794.htm#42-3o,5785 Yonge St 505,679900,2,2,1,Yonge St,Newtonbrook East,C8028794,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/360-bloor-st-213.C8028776.htm#42-3p,360 Bloor St 213,1429000,3,2,1,Bloor St,Rosedale-Moore Park,C8028776,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/20-forest-manor-rd-103.C8028662.htm#42-3q,20 Forest Manor Rd 103,439000,1,1,0,Forest Manor Rd,Henry Farm,C8028662,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/158-front-st-410.C8028622.htm#42-3r,158 Front St 410,799900,2,2,0,Front St,Waterfront Communities C8,C8028622,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/608-richmond-st-618.C8028602.htm#42-3s,608 Richmond St 618,998800,2,2,0,Richmond St,Niagara,C8028602,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/550-queens-quay-525.C8028488.htm#42-3t,550 Queens Quay 525,925000,2,2,0,Queens Quay,Waterfront Communities C1,C8028488,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/377-madison-ave-401.C8028480.htm#42-3u,377 Madison Ave 401,635000,1,1,0,Madison Ave,Casa Loma,C8028480,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/38-niagara-st-211.C8028472.htm#42-3v,38 Niagara St 211,949000,2,2,0,Niagara St,Waterfront Communities C1,C8028472,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/19-grand-trunk-cres.C8028438.htm#42-3w,19 Grand Trunk Cres,1150000,2,2,0,Grand Trunk Cres,Waterfront Communities C1,C8028438,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/31-tippett-rd-459.C8028398.htm#42-3x,31 Tippett Rd 459,664900,2,2,1,Tippett Rd,Clanton Park,C8028398,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/139-merton-st-229.C8028372.htm#42-3y,139 Merton St 229,795000,2,1,1,Merton St,Mount Pleasant West,C8028372,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1657-bathurst-st-4a.C8028346.htm#42-3z,1657 Bathurst St 4A,1079000,2,3,0,Bathurst St,Forest Hill South,C8028346,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/5-sheppard-ave-2722.C8028316.htm#42-40,5 Sheppard Ave 2722,949000,2,2,0,Sheppard Ave,Willowdale East,C8028316,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1-king-st-2402.C8028268.htm#42-41,1 King St 2402,478000,1,0,1,King St,Bay Street Corridor,C8028268,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/900-mount-pleasant-rd-308.C8028256.htm#42-42,900 Mount Pleasant Rd 308,975000,2,2,1,Mount Pleasant Rd,Mount Pleasant West,C8028256,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/77-harbour-sq-811.C8028182.htm#42-43,77 Harbour Sq 811,875000,1,1,0,Harbour Sq,Waterfront Communities C1,C8028182,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1-rowntree-rd-612.W8028088.htm#42-44,1 Rowntree Rd 612,624999,2,2,1,Rowntree Rd,Mount Olive-Silverstone-Jamestown,W8028088,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/10-guildwood-pkwy-424.E8028076.htm#42-45,10 Guildwood Pkwy 424,1050000,2,2,1,Guildwood Pkwy,Guildwood,E8028076,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/150-heath-st-703.C8028124.htm#42-46,150 Heath St 703,2299000,3,2,0,Heath St,Casa Loma,C8028124,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/38-grenville-st-ph4506.C8028122.htm#42-47,38 Grenville St Ph4506,1650000,2,2,0,Grenville St,Bay Street Corridor,C8028122,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/25-carlton-st-1401.C8028108.htm#42-48,25 Carlton St 1401,399000,1,0,0,Carlton St,Church-Yonge Corridor,C8028108,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/151-dan-leckie-way-352.C8028086.htm#42-49,151 Dan Leckie Way 352,1160000,2,2,2,Dan Leckie Way,Waterfront Communities C1,C8028086,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/205-manning-ave-309.C8028058.htm#42-4a,205 Manning Ave 309,849000,2,2,0,Manning Ave,Trinity-Bellwoods,C8028058,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/36-zorra-st-521.W8028034.htm#42-4b,36 Zorra St 521,569900,1,2,0,Zorra St,Islington-City Centre West,W8028034,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/50-george-butchart-dr-808.W8028030.htm#42-4c,50 George Butchart Dr 808,669900,2,2,0,George Butchart Dr,Downsview-Roding-CFB,W8028030,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/90-broadview-ave-905.E8027998.htm#42-4d,90 Broadview Ave 905,1288000,2,2,0,Broadview Ave,South Riverdale,E8027998,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/18-graydon-hall-dr-1107.C8027996.htm#42-4e,18 Graydon Hall Dr 1107,549999,1,1,0,Graydon Hall Dr,Parkwoods-Donalda,C8027996,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/2500-bridletowne-circ-401.E8027964.htm#42-4f,2500 Bridletowne Circ 401,499000,1,2,0,Bridletowne Circ,L'Amoreaux,E8027964,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/15-northtown-way-2529.C8027968.htm#42-4g,15 Northtown Way 2529,708000,2,1,1,Northtown Way,Willowdale East,C8027968,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/17-dundonald-st-sph1702.C8027954.htm#42-4h,17 Dundonald St Sph1702,668800,1,1,0,Dundonald St,Church-Yonge Corridor,C8027954,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/95-mcmahon-dr-3505.C8027940.htm#42-4i,95 Mcmahon Dr 3505,897000,2,2,0,Mcmahon Dr,Bayview Village,C8027940,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/18-mondeo-dr-1324.E8027910.htm#42-4j,18 Mondeo Dr 1324,529900,1,1,1,Mondeo Dr,Dorset Park,E8027910,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1055-bay-st-1801.C8027882.htm#42-4k,1055 Bay St 1801,780000,1,2,1,Bay St,Bay Street Corridor,C8027882,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/27-bathurst-st-412w.C8027850.htm#42-4l,27 Bathurst St 412W,480000,1,0,0,Bathurst St,Waterfront Communities C1,C8027850,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/585-bloor-st-1522.C8027848.htm#42-4m,585 Bloor St 1522,998000,2,2,0,Bloor St,North St. James Town,C8027848,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/195-redpath-ave-3412.C8027802.htm#42-4n,195 Redpath Ave 3412,650000,2,2,0,Redpath Ave,Mount Pleasant West,C8027802,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/234-albion-rd-1411.W8027660.htm#42-4o,234 Albion Rd 1411,449900,2,2,1,Albion Rd,Elms-Old Rexdale,W8027660,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/10-markbrook-lane-405.W8027646.htm#42-4p,10 Markbrook Lane 405,599900,2,2,0,Markbrook Lane,Mount Olive-Silverstone-Jamestown,W8027646,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/18-mondeo-dr-735.E8027726.htm#42-4q,18 Mondeo Dr 735,599000,2,2,0,Mondeo Dr,Dorset Park,E8027726,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/410-mclevin-ave-410.E8027662.htm#42-4r,410 Mclevin Ave 410,499900,2,2,0,Mclevin Ave,Malvern,E8027662,Toronto,condo_apartment,2024-01-30
