mls_id,property_type,address,street,neighbourhood,city,price,baths,beds,dens,latitude,longitude,date_scraped,url
E7340440,condo_apartment,15 Glenfern Ave 1,Glenfern Ave,The Beaches,Toronto,549000,1,1,1,43.67127116,-79.2836599,2024-01-30,https://toronto.listing.ca/15-glenfern-ave-1.E7340440.htm#42-1lt
C7340118,condo_apartment,77 Mutual St 2609,Mutual St,Church-Yonge Corridor,Toronto,699000,1,2,0,43.6560864,-79.37522392,2024-01-30,https://toronto.listing.ca/77-mutual-st-2609.C7340118.htm#42-1lu
C7340032,condo_apartment,33 University Ave 1508,University Ave,Bay Street Corridor,Toronto,935000,2,2,2,43.6462308,-79.3837121,2024-01-30,https://toronto.listing.ca/33-university-ave-1508.C7340032.htm#42-1lv
C7339994,condo_apartment,900 Mount Pleasant Rd 209,Mount Pleasant Rd,Mount Pleasant West,Toronto,898000,2,1,1,43.7117356,-79.3919084,2024-01-30,https://toronto.listing.ca/900-mount-pleasant-rd-209.C7339994.htm#42-1lw
E7339922,condo_apartment,121 Ling Rd 601,Ling Rd,West Hill,Toronto,579000,2,2,1,43.768401,-79.181961338,2024-01-30,https://toronto.listing.ca/121-ling-rd-601.E7339922.htm#42-1lx
C7339894,condo_apartment,5 Concorde Pl 301,Concorde Pl,Banbury-Don Mills,Toronto,780000,2,2,1,43.7299355,-79.327303938,2024-01-30,https://toronto.listing.ca/5-concorde-pl-301.C7339894.htm#42-1ly
E7339634,condo_apartment,3220 Sheppard Ave 212,Sheppard Ave,Tam O'Shanter-Sullivan,Toronto,599999,2,1,1,43.7778802,-79.312314,2024-01-30,https://toronto.listing.ca/3220-sheppard-ave-212.E7339634.htm#42-1lz
C7339556,condo_apartment,55 Ann O'reilly Rd 4008,Ann O'reilly Rd,Henry Farm,Toronto,779000,2,2,0,43.773699,-79.3296,2024-01-30,https://toronto.listing.ca/55-ann-oreilly-rd-4008.C7339556.htm#42-1m0
C7339542,condo_apartment,159 Wellesley St 2404,Wellesley St,Cabbagetown-South St. James Town,Toronto,839000,2,2,0,43.6668404,-79.3748347,2024-01-30,https://toronto.listing.ca/159-wellesley-st-2404.C7339542.htm#42-1m1
E7338516,condo_apartment,90 Ling Rd 812,Ling Rd,West Hill,Toronto,488000,1,2,0,43.76673,-79.185513,2024-01-30,https://toronto.listing.ca/90-ling-rd-812.E7338516.htm#42-1m2
E7338068,condo_apartment,2033 Kennedy Rd 303,Kennedy Rd,Agincourt South-Malvern West,Toronto,987000,2,3,1,43.7641244,-79.2804663,2024-01-30,https://toronto.listing.ca/2033-kennedy-rd-303.E7338068.htm#42-1m3
C7339360,condo_apartment,188 Cumberland St 1408,Cumberland St,Annex,Toronto,780000,1,1,1,43.669875,-79.394165,2024-01-30,https://toronto.listing.ca/188-cumberland-st-1408.C7339360.htm#42-1m4
C7339244,condo_apartment,170 Sumach St 1612,Sumach St,Regent Park,Toronto,648000,1,1,1,43.6605056,-79.3604826,2024-01-30,https://toronto.listing.ca/170-sumach-st-1612.C7339244.htm#42-1m5
C7338952,condo_apartment,25 Malcolm Rd Th 108,Malcolm Rd,Leaside,Toronto,1195000,3,2,0,43.7037431,-79.3616719,2024-01-30,https://toronto.listing.ca/25-malcolm-rd-th-108.C7338952.htm#42-1m6
C7338414,condo_apartment,72 Esther Shiner Blvd 221,Esther Shiner Blvd,Bayview Village,Toronto,638000,1,1,0,43.768185,-79.371647,2024-01-30,https://toronto.listing.ca/72-esther-shiner-blvd-221.C7338414.htm#42-1m7
C7338328,condo_apartment,21 Iceboat Terr 3306,Iceboat Terr,Waterfront Communities C1,Toronto,3900000,4,3,1,43.64030885,-79.3974474,2024-01-30,https://toronto.listing.ca/21-iceboat-terr-3306.C7338328.htm#42-1m8
C7338274,condo_apartment,20 Tubman Ave 1809,Tubman Ave,Regent Park,Toronto,799000,2,2,0,43.660593,-79.359349,2024-01-30,https://toronto.listing.ca/20-tubman-ave-1809.C7338274.htm#42-1m9
C7338264,condo_apartment,5 Soudan Ave 2304,Soudan Ave,Mount Pleasant West,Toronto,1088000,2,2,0,43.704232,-79.397346,2024-01-30,https://toronto.listing.ca/5-soudan-ave-2304.C7338264.htm#42-1ma
C7338172,condo_apartment,30 Grand Trunk Cres 2112,Grand Trunk Cres,Waterfront Communities C1,Toronto,729000,1,1,1,43.642244,-79.3829356,2024-01-30,https://toronto.listing.ca/30-grand-trunk-cres-2112.C7338172.htm#42-1mb
C7337888,condo_apartment,170 Fort York Blvd 2010,Fort York Blvd,Waterfront Communities C1,Toronto,649500,1,1,0,43.6392399,-79.3997576,2024-01-30,https://toronto.listing.ca/170-fort-york-blvd-2010.C7337888.htm#42-1mc
C7337838,condo_apartment,3840 Bathurst St 215,Bathurst St,Clanton Park,Toronto,539000,1,1,0,43.74002895,-79.435001722,2024-01-30,https://toronto.listing.ca/3840-bathurst-st-215.C7337838.htm#42-1md
W7339210,condo_apartment,1221 King St 708,King St,South Parkdale,Toronto,825000,2,2,0,43.638585,-79.427665,2024-01-30,https://toronto.listing.ca/1221-king-st-708.W7339210.htm#42-1me
W7338850,condo_apartment,16 Brookers Lane 701,Brookers Lane,Mimico,Toronto,619999,1,1,0,43.6269302,-79.4785104,2024-01-30,https://toronto.listing.ca/16-brookers-lane-701.W7338850.htm#42-1mf
C7339458,condo_apartment,32 Trolley Cres 506,Trolley Cres,Moss Park,Toronto,929000,2,2,0,43.65682015144822,-79.35492426813576,2024-01-30,https://toronto.listing.ca/32-trolley-cres-506.C7339458.htm#42-1mg
C7338886,condo_apartment,45 Industrial St 205,Industrial St,Leaside,Toronto,278901,1,0,0,43.7088223,-79.3546251,2024-01-30,https://toronto.listing.ca/45-industrial-st-205.C7338886.htm#42-1mh
C7338882,condo_apartment,45 Industrial St 203/204,Industrial St,Leaside,Toronto,557802,1,0,0,43.7088223,-79.3546251,2024-01-30,https://toronto.listing.ca/45-industrial-st-203-204.C7338882.htm#42-1mi
C7337674,condo_apartment,8 York St 612,York St,Waterfront Communities C1,Toronto,868000,2,2,1,43.6405606,-79.3809863,2024-01-30,https://toronto.listing.ca/8-york-st-612.C7337674.htm#42-1mj
C7337258,condo_apartment,70 Distillery Lane 1804,Distillery Lane,Waterfront Communities C8,Toronto,664999,1,1,0,43.650118,-79.357935,2024-01-30,https://toronto.listing.ca/70-distillery-lane-1804.C7337258.htm#42-1mk
C7337248,condo_apartment,175 Hilda Ave 403,Hilda Ave,Newtonbrook West,Toronto,644999,2,3,0,43.7946105,-79.427199321,2024-01-30,https://toronto.listing.ca/175-hilda-ave-403.C7337248.htm#42-1ml
E7337138,condo_apartment,915 Midland Ave 602,Midland Ave,Eglinton East,Toronto,425000,1,1,0,43.735622,-79.257787408,2024-01-30,https://toronto.listing.ca/915-midland-ave-602.E7337138.htm#42-1mm
W7337040,condo_apartment,2645 Kipling Ave 1109,Kipling Ave,Mount Olive-Silverstone-Jamestown,Toronto,524900,2,3,0,43.74744325,-79.58328225,2024-01-30,https://toronto.listing.ca/2645-kipling-ave-1109.W7337040.htm#42-1mn
W7336980,condo_apartment,15 Viking Lane 3501,Viking Lane,Islington-City Centre West,Toronto,645000,1,1,1,43.639528,-79.535218,2024-01-30,https://toronto.listing.ca/15-viking-lane-3501.W7336980.htm#42-1mo
W7336948,condo_apartment,270 Dufferin St 908,Dufferin St,South Parkdale,Toronto,699000,2,2,0,43.63859835384615,-79.42740860769231,2024-01-30,https://toronto.listing.ca/270-dufferin-st-908.W7336948.htm#42-1mp
W7336568,condo_apartment,88 Park Lawn Rd 1903,Park Lawn Rd,Mimico,Toronto,629000,1,1,1,43.6370841,-79.494629343,2024-01-30,https://toronto.listing.ca/88-park-lawn-rd-1903.W7336568.htm#42-1mq
E7336698,condo_apartment,330 Alton Towers Circ 706,Alton Towers Circ,Milliken,Toronto,649900,2,2,1,43.823455,-79.275884696,2024-01-30,https://toronto.listing.ca/330-alton-towers-circ-706.E7336698.htm#42-1mr
E7336638,condo_apartment,18 Mondeo Dr 1442,Mondeo Dr,Dorset Park,Toronto,654900,2,2,1,43.76483455,-79.28809319999999,2024-01-30,https://toronto.listing.ca/18-mondeo-dr-1442.E7336638.htm#42-1ms
E7336418,condo_apartment,55 Huntingdale Blvd 303,Huntingdale Blvd,L'Amoreaux,Toronto,580000,2,2,0,43.7958885,-79.325214703,2024-01-30,https://toronto.listing.ca/55-huntingdale-blvd-303.E7336418.htm#42-1mt
E7336314,condo_apartment,2628 Mccowan Rd 610,Mccowan Rd,Agincourt North,Toronto,579900,2,2,0,43.80691,-79.266626,2024-01-30,https://toronto.listing.ca/2628-mccowan-rd-610.E7336314.htm#42-1mu
C7336926,condo_apartment,8 Hillsdale Ave 1540,Hillsdale Ave,Mount Pleasant West,Toronto,688000,1,1,1,43.703687,-79.397165,2024-01-30,https://toronto.listing.ca/8-hillsdale-ave-1540.C7336926.htm#42-1mv
C7336582,condo_apartment,575 Bloor St 1608,Bloor St,Cabbagetown-South St. James Town,Toronto,899000,2,2,0,43.664767,-79.41193,2024-01-30,https://toronto.listing.ca/575-bloor-st-1608.C7336582.htm#42-1mw
